Composite table:
    i_MarketPriceCode  i_CensusDivision  i_NEMSYear    HMMBLK_PHMM(i_MarketPriceCode,i_CensusDivision,i_NEMSYear)
    8                                 9  38                                                                  2.10
    8                                 9  39                                                                  2.10
    8                                 9  40                                                                  2.11
    8                                 9  41                                                                  2.11
    8                                 9  42                                                                 11.52
    8                                10  34                                                                 76.32
    8                                10  35                                                                  4.86
    8                                10  36                                                                  4.93
    8                                10  37                                                                  5.00
    8                                10  38                                                                  5.08
    8                                10  39                                                                  5.16
    8                                10  40                                                                  5.25
    8                                10  41                                                                  5.32
    8                                10  42                                                                  5.41
    8                                11  34                                                                 76.32
    8                                11  35                                                                 76.32
    8                                11  36                                                                  2.10
    8                                11  37                                                                  2.09
    8                                11  38                                                                  2.10
    8                                11  39                                                                  2.10
    8                                11  40                                                                  2.11
    8                                11  41                                                                  2.11
    8                                11  42                                                                  9.67
    9                                 1  34                                                                 76.32
    9                                 1  35                                                                 76.32
    9                                 1  36                                                                 76.32
    9                                 1  37                                                                  2.09
    9                                 1  38                                                                  2.10
    9                                 1  39                                                                  2.10
    9                                 1  40                                                                  2.50
    9                                 1  41                                                                  2.11
    9                                 1  42                                                                  9.92
    9                                 2  34                                                                 76.32
    9                                 2  35                                                                  2.08
    9                                 2  36                                                                  2.09
    9                                 2  37                                                                  2.09
    9                                 2  38                                                                  2.10
    9                                 2  39                                                                  2.10
    9                                 2  40                                                                  2.11
    9                                 2  41                                                                  2.11
    9                                 2  42                                                                  9.50
    9                                 3  34                                                                 76.32
    9                                 3  35                                                                 76.32
    9                                 3  36                                                                  2.09
    9                                 3  37                                                                  2.09
    9                                 3  38                                                                  2.10
    9                                 3  39                                                                  2.10
    9                                 3  40                                                                  2.11
    9                                 3  41                                                                  2.11
    9                                 3  42                                                                  9.67
    9                                 4  34                                                                 76.32
    9                                 4  35                                                                 76.32
    9                                 4  36                                                                  2.09
    9                                 4  37                                                                  2.09
    9                                 4  38                                                                  2.10
    9                                 4  39                                                                  2.10
    9                                 4  40                                                                  2.11
    9                                 4  41                                                                  2.11
    9                                 4  42                                                                  9.67
